Terminal;Moega;ID Vagão;Produto;Chegada_Trem;Data/Hora Encoste;Data/Hora Início Descarga;Data/Hora Fim Descarga
DDD;Moega LLL;7330407;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 11:14;27/01/2022 11:35
DDD;Moega LLL;6572033;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 11:14;27/01/2022 11:35
DDD;Moega LLL;5524542;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 11:14;27/01/2022 11:35
DDD;Moega LLL;4966060;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 11:35;27/01/2022 11:46
DDD;Moega LLL;5512426;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 11:35;27/01/2022 11:46
DDD;Moega LLL;298438;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 11:35;27/01/2022 11:46
DDD;Moega LLL;6036930;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:09;27/01/2022 14:25
DDD;Moega LLL;7445479;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:09;27/01/2022 14:25
DDD;Moega LLL;6137426;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:09;27/01/2022 14:25
DDD;Moega LLL;2144326;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:27;27/01/2022 14:43
DDD;Moega LLL;3867935;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:27;27/01/2022 14:43
DDD;Moega LLL;8179916;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:27;27/01/2022 14:43
DDD;Moega LLL;757450;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:45;27/01/2022 15:00
DDD;Moega LLL;1437204;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:46;27/01/2022 15:00
DDD;Moega LLL;7273263;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 14:46;27/01/2022 15:00
DDD;Moega LLL;789922;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 15:04;27/01/2022 15:13
DDD;Moega LLL;1693200;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 15:04;27/01/2022 15:14
DDD;Moega LLL;1174036;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 15:04;27/01/2022 15:22
DDD;Moega LLL;3977680;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 15:28;27/01/2022 15:38
DDD;Moega LLL;2114606;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 15:29;27/01/2022 15:39
DDD;Moega LLL;1208002;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 15:30;27/01/2022 15:40
DDD;Moega LLL;2500163;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 20:53;20/01/2022 20:57
DDD;Moega LLL;1118527;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 20:54;20/01/2022 20:58
DDD;Moega LLL;3407264;Soja;20/01/2022 18:20;20/01/2022 20:35;20/01/2022 20:55;20/01/2022 20:59
